action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,33292,[],CHEMBL659308,Inhibitory activity against Caspase-1 using Ac-TyrValAlaAsp-amc as substrate,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C[C@H](NC(=O)[C@@H]2CS[C@H]3CC[C@H](NC(=O)OCc4ccccc4)C(=O)N32)C(O)O1,,,CHEMBL1131550,Bioorg Med Chem Lett,1998,"{'bei': '11.83', 'le': '0.23', 'lle': '5.22', 'sei': '3.96'}",CHEMBL92017,,CHEMBL92017,5.32,0,http://www.openphacts.org/units/Nanomolar,171676,=,1,1,=,,IC50,nM,,4800.0,CHEMBL4800,Mus musculus,Caspase-1,10090,,,IC50,uM,UO_0000065,,4.8
,,41763,[],CHEMBL659308,Inhibitory activity against Caspase-1 using Ac-TyrValAlaAsp-amc as substrate,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@H]1CC(=O)OC1O)C(C)C,,,CHEMBL1131550,Bioorg Med Chem Lett,1998,"{'bei': '14.23', 'le': '0.28', 'lle': '9.94', 'sei': '3.01'}",CHEMBL430648,,CHEMBL430648,7.15,0,http://www.openphacts.org/units/Nanomolar,171669,=,1,1,=,,IC50,nM,,71.0,CHEMBL4800,Mus musculus,Caspase-1,10090,,,IC50,uM,UO_0000065,,0.071
,,43016,[],CHEMBL659308,Inhibitory activity against Caspase-1 using Ac-TyrValAlaAsp-amc as substrate,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@H]1CC(=O)OC1O)C(C)C,,,CHEMBL1131550,Bioorg Med Chem Lett,1998,"{'bei': '16.93', 'le': '0.33', 'lle': '9.50', 'sei': '4.55'}",CHEMBL2370217,,CHEMBL2370217,8.34,0,http://www.openphacts.org/units/Nanomolar,171665,=,1,1,=,,IC50,nM,,4.6,CHEMBL4800,Mus musculus,Caspase-1,10090,,,IC50,uM,UO_0000065,,0.0046
,,46545,[],CHEMBL659308,Inhibitory activity against Caspase-1 using Ac-TyrValAlaAsp-amc as substrate,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@H]1CC(=O)OC1O,,,CHEMBL1131550,Bioorg Med Chem Lett,1998,"{'bei': '15.78', 'le': '0.30', 'lle': '6.38', 'sei': '5.26'}",CHEMBL318016,,CHEMBL318016,7.06,0,http://www.openphacts.org/units/Nanomolar,171678,=,1,1,=,,IC50,nM,,87.0,CHEMBL4800,Mus musculus,Caspase-1,10090,,,IC50,uM,UO_0000065,,0.087
,,47837,[],CHEMBL659308,Inhibitory activity against Caspase-1 using Ac-TyrValAlaAsp-amc as substrate,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CN1CCCC[C@H](NC(=O)OCc2ccccc2)C1=O)N[C@H]1CC(=O)OC1O,,,CHEMBL1131550,Bioorg Med Chem Lett,1998,"{'bei': '13.77', 'le': '0.26', 'lle': '5.73', 'sei': '4.30'}",CHEMBL92930,,CHEMBL92930,5.78,0,http://www.openphacts.org/units/Nanomolar,171679,=,1,1,=,,IC50,nM,,1680.0,CHEMBL4800,Mus musculus,Caspase-1,10090,,,IC50,uM,UO_0000065,,1.68
,,55522,[],CHEMBL659308,Inhibitory activity against Caspase-1 using Ac-TyrValAlaAsp-amc as substrate,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@H]1CC(=O)OC1O,,,CHEMBL1131550,Bioorg Med Chem Lett,1998,"{'bei': '17.07', 'le': '0.33', 'lle': '7.00', 'sei': '5.03'}",CHEMBL328015,,CHEMBL328015,7.19,0,http://www.openphacts.org/units/Nanomolar,171666,=,1,1,=,,IC50,nM,,64.0,CHEMBL4800,Mus musculus,Caspase-1,10090,,,IC50,uM,UO_0000065,,0.064
,,55524,[],CHEMBL659308,Inhibitory activity against Caspase-1 using Ac-TyrValAlaAsp-amc as substrate,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C[C@H](NC(=O)[C@@H]2CCC[C@@H]3CCC[C@H](NC(=O)OCc4ccccc4)C(=O)N32)C(O)O1,,,CHEMBL1131550,Bioorg Med Chem Lett,1998,"{'bei': '16.20', 'le': '0.31', 'lle': '6.47', 'sei': '5.54'}",CHEMBL419508,,CHEMBL419508,7.44,0,http://www.openphacts.org/units/Nanomolar,171674,=,1,1,=,,IC50,nM,,36.0,CHEMBL4800,Mus musculus,Caspase-1,10090,,,IC50,uM,UO_0000065,,0.036
,,59206,[],CHEMBL659308,Inhibitory activity against Caspase-1 using Ac-TyrValAlaAsp-amc as substrate,B,,,BAO_0000190,BAO_0000357,single protein format,C[C@@H](C(=O)N[C@H]1CC(=O)OC1O)N1CCCC[C@H](NC(=O)OCc2ccccc2)C1=O,,,CHEMBL1131550,Bioorg Med Chem Lett,1998,"{'bei': '15.53', 'le': '0.30', 'lle': '6.30', 'sei': '5.01'}",CHEMBL314286,,CHEMBL314286,6.73,0,http://www.openphacts.org/units/Nanomolar,171672,=,1,1,=,,IC50,nM,,186.0,CHEMBL4800,Mus musculus,Caspase-1,10090,,,IC50,uM,UO_0000065,,0.186
,,61936,[],CHEMBL659308,Inhibitory activity against Caspase-1 using Ac-TyrValAlaAsp-amc as substrate,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@H]1CC(=O)OC1O)C(C)C,,,CHEMBL1131550,Bioorg Med Chem Lett,1998,"{'bei': '14.13', 'le': '0.28', 'lle': '8.92', 'sei': '3.14'}",CHEMBL2370213,,CHEMBL2370213,6.28,0,http://www.openphacts.org/units/Nanomolar,171670,=,1,1,=,,IC50,nM,,523.0,CHEMBL4800,Mus musculus,Caspase-1,10090,,,IC50,uM,UO_0000065,,0.523
,,61938,[],CHEMBL659308,Inhibitory activity against Caspase-1 using Ac-TyrValAlaAsp-amc as substrate,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C[C@H](NC(=O)[C@@H]2CS[C@@H]3CCC[C@H](NC(=O)OCc4ccccc4)C(=O)N32)C(O)O1,,,CHEMBL1131550,Bioorg Med Chem Lett,1998,"{'bei': '14.67', 'le': '0.29', 'lle': '6.31', 'sei': '5.06'}",CHEMBL92561,,CHEMBL92561,6.80,0,http://www.openphacts.org/units/Nanomolar,171675,=,1,1,=,,IC50,nM,,159.0,CHEMBL4800,Mus musculus,Caspase-1,10090,,,IC50,uM,UO_0000065,,0.159
